user,age,status,gender,drinks,height,smokes,religion
user164,20,single,m,yes,183.0,no,islam
user166,36,single,m,yes,183.0,no,islam
user167,26,single,f,yes,160.0,no,islam
user168,26,single,f,yes,173.0,no,islam
user169,33,single,f,yes,168.0,no,islam
user170,20,seeing someone,f,yes,168.0,no,islam
user171,31,single,m,yes,178.0,no,islam
user172,62,single,m,yes,185.0,no,protestant christianity
user173,33,single,f,yes,160.0,no,islam
user174,22,single,m,yes,175.0,yes,islam
user176,27,single,m,yes,173.0,no,islam
user177,29,single,m,yes,183.0,yes,islam
user179,25,single,m,yes,180.0,yes,islam
user180,32,single,m,yes,175.0,no,buddhism
user181,21,single,f,yes,168.0,no,islam
user182,27,single,f,yes,173.0,no,islam
user183,38,available,m,no,178.0,no,islam
user184,27,single,m,no,188.0,no,islam
user185,44,single,f,yes,160.0,no,islam
user186,52,single,f,yes,168.0,no,islam
user187,33,single,f,yes,152.0,no,islam
user188,28,single,f,yes,170.0,no,islam
user189,37,single,m,no,201.0,no,protestant christianity
user190,28,single,f,yes,155.0,no,islam
user191,32,single,m,yes,175.0,no,islam
user192,29,single,f,yes,175.0,yes,islam
user193,31,single,m,yes,170.0,no,islam
user194,42,single,m,yes,180.0,no,islam
user195,32,single,f,yes,160.0,yes,islam
user196,28,single,m,yes,170.0,yes,islam
user197,38,single,f,yes,160.0,no,islam
user199,19,single,f,yes,157.0,no,islam
user200,27,single,f,yes,165.0,no,islam
user201,28,single,m,yes,170.0,no,islam
user202,29,seeing someone,f,yes,168.0,no,islam
user203,31,single,f,yes,160.0,yes,islam
user204,27,single,f,yes,160.0,no,islam
user205,43,single,f,yes,175.0,no,islam
user206,43,single,m,yes,180.0,yes,islam
user207,24,single,f,yes,175.0,no,islam
user209,30,seeing someone,f,yes,168.0,no,islam
user210,59,single,f,yes,157.0,no,islam
user211,33,single,m,yes,183.0,no,islam
user213,58,single,m,yes,175.0,no,islam
user214,24,single,f,yes,150.0,yes,islam
user215,39,single,m,no,188.0,no,islam
user216,33,single,m,yes,178.0,no,islam
user217,43,single,f,yes,165.0,no,islam
user218,29,single,m,yes,178.0,no,islam
user219,28,single,f,yes,168.0,no,islam
user220,21,single,m,no,178.0,no,protestant christianity
user221,35,single,f,yes,163.0,no,islam
user222,32,single,m,yes,175.0,yes,islam
user223,42,single,f,yes,160.0,no,roman catholicism
user224,23,single,f,yes,157.0,yes,islam
user225,30,single,f,yes,173.0,no,islam
user226,27,single,m,no,180.0,yes,islam
user227,41,single,f,no,180.0,no,islam
user228,33,single,m,yes,175.0,no,islam
user229,58,single,f,yes,178.0,no,islam
user231,50,single,f,yes,168.0,no,islam
user232,45,single,f,yes,165.0,no,protestant christianity
user233,66,single,f,yes,165.0,no,islam
user234,33,seeing someone,m,yes,173.0,no,islam
user236,53,single,f,yes,157.0,yes,islam
user237,28,single,m,yes,183.0,yes,protestant christianity
user238,22,single,f,yes,160.0,yes,islam
user239,19,single,m,yes,185.0,no,islam
user240,35,single,m,yes,170.0,no,islam
user241,51,single,f,yes,165.0,no,islam
user242,30,single,m,yes,175.0,no,islam
user243,29,single,m,yes,203.0,no,islam
user244,32,seeing someone,f,yes,155.0,no,islam
user245,45,single,f,yes,160.0,no,roman catholicism
user246,28,single,m,yes,185.0,no,protestant christianity
user247,36,single,f,yes,160.0,no,islam
user248,40,available,m,yes,180.0,no,islam
user249,34,single,f,yes,157.0,yes,protestant christianity
user251,39,single,m,yes,183.0,yes,islam
user253,26,single,f,yes,170.0,yes,islam
user255,46,single,m,yes,173.0,no,islam
user258,30,single,f,yes,157.0,no,islam
user259,50,single,f,yes,160.0,no,islam
user260,50,single,f,yes,163.0,no,islam
user261,34,available,m,yes,183.0,no,islam
user262,40,single,f,yes,157.0,no,islam
user263,46,single,f,yes,168.0,no,islam
user264,41,single,m,yes,170.0,yes,islam
user265,29,single,f,yes,157.0,no,islam
user266,53,single,f,yes,175.0,no,islam
user267,39,single,m,yes,175.0,no,islam
user268,39,single,f,yes,163.0,no,islam
user269,24,single,f,yes,157.0,no,islam
user270,26,single,m,yes,178.0,no,islam
user271,25,single,f,yes,163.0,no,islam
user272,59,single,f,no,160.0,no,islam
user273,28,single,f,yes,170.0,yes,islam
user274,29,single,m,yes,173.0,yes,islam
user275,35,single,m,yes,170.0,no,islam
user277,36,single,f,yes,170.0,no,islam
user278,42,single,f,yes,163.0,no,islam
user280,27,single,m,yes,203.0,no,roman catholicism
user281,45,single,f,yes,152.0,no,islam
user282,37,single,m,yes,180.0,no,islam
user283,47,single,m,yes,175.0,no,protestant christianity
user284,24,single,f,yes,170.0,no,islam
user285,53,single,f,no,163.0,no,islam
user286,26,single,f,yes,157.0,yes,islam
user287,49,single,f,yes,160.0,no,islam
user288,24,single,f,yes,155.0,no,islam
user289,19,single,m,yes,175.0,no,islam
user290,26,single,m,yes,193.0,no,islam
user292,26,single,m,yes,183.0,no,islam
user293,36,single,f,yes,160.0,no,islam
user294,24,single,m,yes,175.0,yes,islam
user295,47,single,m,no,183.0,yes,islam
user296,51,single,m,yes,178.0,no,islam
user297,28,single,m,yes,185.0,no,islam
user298,48,available,f,yes,157.0,no,islam
user299,37,single,f,yes,157.0,no,islam
user300,47,single,m,no,183.0,no,protestant christianity
user301,34,single,f,yes,168.0,yes,islam
user302,37,single,f,yes,165.0,yes,islam
user303,25,single,m,yes,178.0,yes,islam
user304,32,single,m,yes,180.0,no,hinduism
user305,42,single,f,yes,180.0,no,islam
user306,33,single,f,yes,163.0,no,islam
user307,34,single,f,yes,160.0,no,islam
user308,42,single,m,yes,190.0,yes,buddhism
user309,29,single,m,yes,178.0,no,protestant christianity
user310,55,single,m,yes,185.0,no,islam
user311,32,single,m,yes,173.0,no,hinduism
user312,25,single,m,yes,175.0,no,islam
user313,31,single,f,no,163.0,no,islam
user315,39,single,f,no,173.0,no,islam
user316,50,available,m,yes,188.0,no,islam
user317,29,single,f,yes,155.0,no,islam
user318,50,single,f,no,168.0,no,islam
user319,43,single,f,yes,157.0,no,islam
user320,63,single,f,yes,170.0,no,islam
user321,35,single,m,yes,183.0,no,islam
user322,19,single,f,yes,170.0,yes,islam
user323,62,single,f,yes,163.0,no,islam
user324,44,single,f,yes,173.0,no,islam
user326,24,single,m,yes,175.0,no,islam
user327,40,single,f,no,173.0,no,islam
user328,63,single,f,yes,165.0,no,hinduism
user329,45,single,m,yes,168.0,no,islam
user330,53,single,f,yes,157.0,no,islam
user331,36,single,m,yes,183.0,no,islam
user332,22,single,m,yes,178.0,yes,roman catholicism
user333,19,single,m,no,175.0,no,islam
user334,32,single,f,yes,163.0,no,buddhism
user335,61,single,f,yes,160.0,yes,islam
user336,20,single,f,yes,152.0,no,islam
user337,34,single,f,yes,165.0,no,islam
user338,34,single,f,yes,170.0,no,islam
user339,36,single,m,yes,183.0,no,islam
user340,29,single,m,yes,180.0,no,islam
user341,30,single,m,yes,185.0,yes,roman catholicism
user342,40,single,m,yes,173.0,no,islam
user343,28,single,f,yes,157.0,no,islam
user344,20,single,m,yes,175.0,no,islam
user345,40,single,m,yes,180.0,yes,hinduism
user346,43,single,f,yes,168.0,no,islam
user347,19,single,m,no,183.0,no,islam
user348,60,single,m,no,173.0,no,islam
user349,66,single,m,no,185.0,no,islam
user352,34,available,m,yes,188.0,no,roman catholicism
user353,32,single,m,yes,188.0,no,islam
user354,34,single,f,yes,173.0,no,islam
user355,29,single,f,yes,163.0,no,islam
user356,26,single,m,yes,190.0,no,islam
user357,43,single,f,yes,160.0,yes,islam
user358,44,single,f,yes,165.0,no,islam
user359,32,single,m,yes,183.0,yes,islam
user360,37,single,f,yes,173.0,yes,islam
user361,30,single,f,yes,175.0,no,islam
user362,26,single,m,yes,185.0,no,islam
user363,23,single,m,yes,178.0,no,islam
user364,31,single,m,yes,175.0,yes,islam
user365,34,single,m,yes,185.0,no,islam
user366,48,single,m,yes,175.0,no,islam
user367,35,single,m,yes,180.0,no,islam
user369,27,single,f,yes,160.0,no,islam
user371,22,single,f,yes,163.0,no,islam
user372,35,single,m,yes,180.0,no,islam
user374,32,single,m,yes,188.0,yes,islam
user375,32,single,m,yes,183.0,yes,islam
user376,23,single,m,yes,180.0,yes,islam
user377,40,single,f,yes,163.0,yes,islam
user378,47,single,f,yes,168.0,no,islam
user379,31,single,m,yes,188.0,no,protestant christianity
user380,30,single,m,yes,173.0,no,roman catholicism
user381,25,single,f,yes,178.0,no,islam
user382,33,single,m,no,173.0,no,islam
user383,54,single,m,yes,193.0,no,islam
user384,30,single,m,yes,183.0,no,islam
user385,45,single,m,yes,178.0,no,islam
user386,30,available,m,yes,170.0,no,islam
user387,49,single,m,yes,163.0,no,islam
user388,32,single,m,yes,173.0,yes,buddhism
user389,24,single,f,yes,168.0,no,islam
user390,57,single,m,yes,175.0,no,islam
user391,41,single,m,yes,183.0,no,protestant christianity
user392,37,single,f,yes,155.0,no,islam
user393,35,single,m,yes,188.0,no,islam
user394,40,single,f,yes,163.0,no,roman catholicism
user395,50,single,f,yes,168.0,no,islam
user396,40,single,m,yes,185.0,no,islam
user397,37,single,m,no,193.0,no,protestant christianity
user398,60,single,m,yes,180.0,no,islam
user399,47,single,m,yes,175.0,no,islam
user401,29,single,m,yes,180.0,yes,islam
user402,22,single,f,yes,231.0,no,islam
user403,44,seeing someone,m,yes,188.0,no,islam
user404,57,single,f,yes,157.0,no,islam
user405,43,single,f,yes,170.0,no,islam
user406,20,single,f,yes,157.0,no,islam
user407,29,single,m,yes,180.0,no,islam
user408,30,single,m,yes,178.0,no,islam
user409,25,single,m,yes,183.0,no,islam
user410,39,single,m,yes,183.0,no,islam
user411,41,single,f,yes,163.0,no,protestant christianity
user412,30,single,m,yes,183.0,no,islam
user413,23,single,m,yes,173.0,no,islam
user414,49,single,f,yes,173.0,no,islam
user415,59,single,m,yes,180.0,no,islam
user416,39,single,m,yes,168.0,no,islam
user418,59,single,f,yes,173.0,no,islam
user419,26,single,f,yes,155.0,no,islam
user420,33,single,f,yes,185.0,no,islam
user421,46,single,m,yes,180.0,no,islam
user422,36,single,m,yes,180.0,no,islam
user423,40,available,f,yes,163.0,yes,islam
user425,30,single,f,yes,170.0,no,islam
user426,30,single,f,yes,165.0,no,islam
user427,33,seeing someone,m,yes,188.0,no,islam
user428,29,single,m,yes,173.0,no,islam
user429,23,single,f,yes,155.0,no,islam
user430,33,single,m,yes,180.0,no,islam
user431,28,single,m,yes,170.0,no,islam
user433,29,single,m,yes,201.0,no,islam
user434,44,single,f,yes,155.0,no,islam
user435,28,single,f,yes,168.0,no,islam
user436,47,single,m,yes,193.0,no,islam
user437,24,single,m,yes,175.0,no,islam
user438,28,single,m,yes,178.0,no,islam
user439,40,single,f,yes,165.0,no,islam
user440,24,single,m,yes,183.0,yes,islam
user442,39,single,m,no,180.0,yes,islam
user443,52,single,f,yes,157.0,no,islam
user444,39,single,m,yes,178.0,no,islam
user446,26,single,f,yes,178.0,no,islam
user448,27,single,m,yes,180.0,yes,islam
user449,60,single,m,no,178.0,no,islam
user450,52,single,f,yes,165.0,no,islam
user451,42,single,f,yes,163.0,yes,islam
user452,31,single,f,yes,173.0,no,islam
user453,38,single,m,yes,173.0,no,islam
user454,26,single,m,yes,170.0,no,islam
user455,32,single,f,yes,163.0,no,islam
user457,32,single,f,yes,155.0,no,islam
user458,31,single,f,yes,163.0,no,roman catholicism
user459,32,single,m,yes,183.0,no,islam
user460,22,single,f,yes,163.0,no,islam
user461,37,single,m,yes,178.0,no,islam
user463,44,single,m,yes,183.0,yes,islam
user465,38,single,m,yes,165.0,yes,islam
user466,23,single,f,yes,163.0,no,islam
user467,33,single,f,yes,165.0,no,islam
user468,24,seeing someone,f,yes,163.0,no,islam
user469,32,single,f,yes,163.0,no,islam
user470,27,single,f,yes,160.0,no,islam
user471,39,single,f,no,160.0,no,islam
user472,47,single,f,yes,168.0,no,islam
user473,33,single,m,yes,178.0,yes,islam
user474,38,single,m,no,178.0,no,islam
user475,42,single,f,yes,170.0,no,islam
user476,42,single,m,yes,178.0,no,islam
user477,21,single,f,yes,173.0,yes,islam
user478,35,single,m,yes,185.0,no,islam
user479,38,single,f,yes,163.0,no,islam
user480,34,single,f,yes,163.0,no,islam
user482,29,single,m,yes,180.0,no,islam
user483,27,single,f,yes,157.0,no,islam
user485,33,single,m,yes,170.0,yes,islam
user486,25,single,m,yes,178.0,no,islam
user487,31,single,f,yes,168.0,no,islam
user488,24,single,f,yes,183.0,no,islam
user489,49,single,m,yes,178.0,no,islam
user490,23,single,m,yes,183.0,no,islam
user491,23,single,f,yes,168.0,no,islam
user492,22,single,f,yes,160.0,yes,islam
user493,48,single,m,yes,178.0,no,islam
user494,27,single,m,yes,180.0,no,islam
user495,30,seeing someone,m,yes,173.0,no,islam
user496,59,single,m,yes,163.0,no,islam
user497,27,single,m,yes,178.0,no,islam
user498,24,single,m,yes,173.0,no,islam
user499,32,single,f,yes,175.0,no,islam
user501,32,single,m,yes,183.0,no,islam
user502,30,available,m,yes,190.0,no,islam
user503,40,single,f,yes,165.0,no,islam
user504,18,single,m,yes,185.0,no,islam
user506,32,single,f,yes,157.0,no,islam
user507,27,single,f,yes,163.0,no,islam
user508,56,single,f,yes,173.0,no,islam
user509,35,single,m,yes,178.0,no,roman catholicism
user511,30,single,m,yes,183.0,no,islam
user512,43,single,m,yes,175.0,yes,islam
user513,27,single,m,yes,173.0,no,islam
user514,30,single,m,yes,180.0,no,islam
user515,58,single,m,yes,183.0,no,islam
user516,31,single,m,yes,173.0,no,islam
user517,34,single,m,yes,183.0,no,hinduism
user518,41,single,m,yes,190.0,yes,islam
user519,27,single,f,yes,170.0,yes,islam
user520,37,single,m,yes,173.0,no,islam
user521,35,single,f,yes,170.0,no,islam
user522,26,single,m,yes,185.0,yes,islam
user523,28,single,m,yes,183.0,no,protestant christianity
user524,32,single,m,yes,193.0,no,islam
user525,38,single,f,yes,173.0,no,islam
user526,42,single,m,yes,183.0,no,islam
user527,25,single,m,yes,170.0,yes,protestant christianity
user528,34,single,f,yes,168.0,no,islam
user529,46,single,m,yes,180.0,no,islam
user530,31,single,m,yes,175.0,no,buddhism
user531,26,single,f,yes,163.0,no,roman catholicism
user532,37,single,m,yes,190.0,no,protestant christianity
user533,28,single,f,yes,175.0,yes,islam
user535,50,single,m,yes,178.0,no,islam
user536,24,single,f,no,180.0,yes,islam
user537,24,single,m,yes,188.0,no,islam
user538,32,single,m,yes,175.0,no,islam
user539,50,single,m,yes,173.0,no,islam
user540,33,single,f,yes,152.0,no,islam
user541,38,single,m,no,173.0,yes,islam
user542,49,available,m,yes,178.0,no,islam
user543,35,single,m,yes,178.0,no,islam
user545,22,single,m,no,170.0,no,protestant christianity
user546,32,single,m,yes,211.0,yes,islam
user547,25,single,m,yes,178.0,yes,islam
user548,26,single,f,yes,150.0,yes,islam
user549,23,single,m,yes,180.0,yes,islam
user551,28,single,m,yes,175.0,no,islam
user552,44,available,m,yes,193.0,no,protestant christianity
user553,22,single,m,yes,180.0,no,islam
user554,31,single,f,yes,173.0,no,islam
user555,65,single,m,yes,178.0,no,islam
user556,36,single,f,yes,178.0,no,islam
user557,35,single,f,yes,157.0,no,islam
user559,30,single,f,yes,168.0,no,islam
user560,26,single,m,yes,183.0,no,islam
user561,23,single,m,yes,185.0,no,islam
user562,27,available,m,yes,173.0,no,islam
user563,36,single,m,yes,183.0,yes,islam
user564,41,available,f,yes,168.0,no,roman catholicism
user565,45,single,m,yes,178.0,no,islam
user566,48,single,m,yes,173.0,no,islam
user567,26,single,m,yes,193.0,yes,islam
user568,23,single,m,yes,170.0,no,roman catholicism
user569,28,single,f,yes,173.0,no,islam
user570,29,single,m,yes,188.0,no,islam
user571,42,single,f,yes,170.0,no,islam
user572,33,single,f,no,152.0,no,islam
user573,52,single,m,yes,178.0,no,islam
user574,25,single,m,yes,160.0,yes,islam
user575,61,single,m,yes,173.0,no,islam
user576,28,single,m,yes,180.0,yes,islam
user577,35,single,m,no,185.0,no,islam
user578,34,single,m,yes,183.0,no,protestant christianity
user579,59,single,f,yes,173.0,no,islam
user580,31,single,m,yes,196.0,yes,islam
user581,19,single,m,yes,185.0,no,roman catholicism
user582,29,single,f,yes,173.0,no,islam
user583,55,single,f,yes,168.0,no,islam
user584,45,single,m,yes,165.0,no,islam
user585,49,single,f,yes,175.0,no,islam
user586,21,single,m,yes,180.0,no,islam
user587,27,single,f,yes,155.0,no,islam
user589,25,single,f,yes,160.0,no,islam
user590,44,seeing someone,f,yes,160.0,yes,islam
user591,52,single,m,yes,183.0,no,islam
user592,30,single,f,yes,168.0,no,islam
user593,58,single,f,yes,163.0,no,islam
user594,33,single,f,yes,160.0,no,islam
user595,44,single,f,yes,173.0,no,protestant christianity
user597,38,single,f,yes,170.0,no,islam
user598,47,single,f,yes,160.0,no,islam
user600,28,available,m,yes,173.0,no,islam
user601,40,single,f,yes,170.0,no,islam
user602,64,single,f,yes,170.0,no,islam
user603,52,single,f,yes,160.0,no,islam
user604,37,single,m,yes,163.0,no,islam
user605,33,single,f,yes,170.0,no,islam
user606,58,married,m,yes,183.0,no,protestant christianity
user607,43,single,m,yes,183.0,no,islam
user608,27,single,m,yes,165.0,no,islam
user609,57,single,f,no,173.0,no,islam
user610,64,single,f,yes,175.0,no,islam
user611,41,single,m,yes,175.0,no,islam
user612,35,single,m,yes,188.0,no,islam
user613,26,single,m,yes,185.0,yes,islam
user614,52,single,m,yes,183.0,no,islam
user615,45,single,f,yes,160.0,no,islam
user616,24,single,f,no,173.0,yes,islam
user618,25,single,m,yes,190.0,no,islam
user619,35,single,m,yes,185.0,no,protestant christianity
user620,25,single,f,yes,173.0,yes,islam
user621,33,single,m,yes,170.0,no,islam
user622,41,single,m,yes,185.0,no,islam
user623,26,single,f,yes,163.0,no,islam
user624,27,single,m,yes,180.0,yes,islam
user625,25,single,f,yes,163.0,no,islam
user626,39,single,f,yes,160.0,no,islam
user627,35,single,m,yes,180.0,no,islam
user628,30,single,f,yes,163.0,no,islam
user629,21,single,m,yes,188.0,yes,islam
user630,48,single,f,yes,175.0,no,islam
user631,25,seeing someone,m,yes,185.0,no,islam
user632,27,single,m,yes,180.0,yes,islam
user633,20,single,m,yes,185.0,no,islam
user634,31,available,m,yes,188.0,yes,islam
user635,37,single,f,yes,173.0,no,roman catholicism
user636,55,single,f,yes,163.0,no,islam
user637,37,single,f,yes,165.0,no,islam
user638,24,single,m,yes,188.0,yes,roman catholicism
user639,32,single,f,yes,163.0,no,islam
user640,18,single,m,no,178.0,no,islam
user641,19,single,m,yes,190.0,no,islam
user642,22,single,f,yes,155.0,no,islam
user644,36,single,f,yes,178.0,yes,islam
user645,19,single,f,yes,160.0,no,islam
user646,30,single,m,yes,180.0,no,islam
user647,43,single,f,yes,157.0,no,islam
user648,19,single,m,no,178.0,no,islam
user649,36,single,m,yes,175.0,no,islam
user651,32,single,m,yes,180.0,no,islam
user652,33,single,f,yes,155.0,no,islam
user653,27,single,f,yes,175.0,no,islam
user654,30,single,f,yes,173.0,no,islam
user655,26,single,m,yes,180.0,no,islam
user656,34,single,m,yes,180.0,no,protestant christianity
user657,23,single,m,yes,183.0,no,islam
user658,38,available,m,yes,175.0,no,islam
user659,57,single,f,yes,168.0,yes,islam
user660,31,single,m,yes,178.0,no,islam
user661,41,single,m,yes,178.0,no,islam
user662,30,single,m,yes,185.0,no,islam
user663,27,single,m,yes,185.0,no,islam
user665,33,single,m,yes,170.0,no,islam
user666,38,single,f,yes,175.0,no,islam
user667,45,single,f,yes,173.0,no,islam
user668,36,single,m,yes,170.0,no,islam
user669,32,single,m,yes,178.0,no,roman catholicism
user670,28,single,m,yes,178.0,no,protestant christianity
user671,34,single,f,yes,157.0,no,islam
user672,30,single,f,yes,163.0,no,islam
user673,34,single,m,yes,175.0,yes,islam
user674,61,single,m,no,173.0,no,islam
user675,31,seeing someone,m,yes,173.0,no,islam
user676,21,single,m,yes,178.0,no,islam
user677,38,single,f,yes,173.0,yes,islam
user678,24,single,m,yes,170.0,yes,islam
user679,31,single,f,yes,160.0,no,islam
user680,34,single,f,yes,168.0,no,islam
user681,33,seeing someone,f,yes,178.0,yes,protestant christianity
user682,27,single,m,yes,183.0,no,protestant christianity
user683,31,single,m,yes,178.0,no,islam
user684,45,single,m,yes,190.0,no,islam
user685,33,single,m,yes,180.0,no,islam
user686,27,single,f,yes,160.0,yes,islam
user687,41,single,m,yes,180.0,yes,islam
user688,29,single,m,yes,183.0,no,islam
user689,25,single,m,yes,193.0,no,islam
user690,47,single,m,yes,173.0,no,islam
user691,30,single,m,yes,178.0,no,islam
user692,21,single,m,yes,185.0,yes,islam
user693,29,single,m,yes,178.0,no,islam
user694,32,single,m,yes,173.0,no,islam
user696,42,single,m,yes,175.0,no,islam
user697,23,single,m,yes,183.0,no,islam
user698,23,single,m,yes,188.0,yes,islam
user699,43,married,f,yes,163.0,no,islam
user700,23,single,f,yes,160.0,no,islam
user701,28,single,m,yes,170.0,yes,protestant christianity
user702,38,single,f,yes,170.0,yes,islam
user703,26,single,f,yes,183.0,yes,islam
user704,39,single,m,yes,188.0,no,islam
user705,28,single,m,yes,183.0,no,buddhism
user706,20,single,f,yes,165.0,no,islam
user707,46,single,f,yes,157.0,no,islam
user709,29,single,m,yes,185.0,no,islam
user711,36,single,m,no,170.0,yes,islam
user713,39,available,m,yes,183.0,no,islam
user714,33,seeing someone,m,yes,188.0,no,islam
user716,39,seeing someone,m,yes,183.0,no,islam
user717,40,single,m,yes,178.0,no,islam
user719,26,single,m,yes,188.0,yes,islam
user720,30,single,m,yes,185.0,yes,islam
